# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       6.578858520406e-03      -7.743383793897e-01      -4.603792823135e+00      -4.676266306032e+00       0.000000000000e+00      -7.289331935274e-01      -4.551082582374e+00       5.225003233615e-01       5.241959508058e-01      -7.214509683140e-03      -2.105356985513e-05                      nan      -6.785483251715e-03      -2.727252948572e-04 
       6.700483442374e-03      -7.365236501593e-01      -4.758397167854e+00      -4.836241048957e+00       0.000000000000e+00      -7.022486798054e-01      -4.704600099959e+00       5.204520472629e-01       5.221878996740e-01      -7.397978228558e-03      -2.256770340764e-05                      nan      -6.952532522485e-03      -2.797293421783e-04 
       6.822214454238e-03      -6.994593593123e-01      -4.914919889922e+00      -4.998424393266e+00       0.000000000000e+00      -6.769456392336e-01      -4.860245123290e+00       5.184207985027e-01       5.201811158049e-01      -7.572784380488e-03      -2.415963500864e-05                      nan      -7.113917636268e-03      -2.864610655827e-04 
       6.944046745134e-03      -6.634534233522e-01      -5.073318787617e+00      -5.162785692779e+00       0.000000000000e+00      -6.532393420025e-01      -5.017993876592e+00       5.164068309935e-01       5.181766960571e-01      -7.738884635898e-03      -2.583245398880e-05                      nan      -7.269999014319e-03      -2.929256070722e-04 
       7.065975829162e-03      -6.288000158652e-01      -5.233556850079e+00      -5.329295570079e+00       0.000000000000e+00      -6.313213320130e-01      -5.177823925398e+00       5.144104326243e-01       5.161758183611e-01      -7.896356443432e-03      -2.758770836079e-05                      nan      -7.421245411908e-03      -2.991322966518e-04 
       7.187997520434e-03      -5.957764542375e-01      -5.395591225645e+00      -5.497922142723e+00       0.000000000000e+00      -6.113576174871e-01      -5.339709279197e+00       5.124314536347e-01       5.141792674023e-01      -8.045399664029e-03      -2.942817426313e-05                      nan      -7.568226079350e-03      -3.050950004589e-04 
       7.310107910369e-03      -5.646414511708e-01      -5.559385867887e+00      -5.668638096735e+00       0.000000000000e+00      -5.934875316615e-01      -5.503628105696e+00       5.104700807554e-01       5.121881994835e-01      -8.186343561766e-03      -3.135582614991e-05                      nan      -7.711607806911e-03      -3.108319119178e-04 
       7.432303346994e-03      -5.356320601587e-01      -5.724899266458e+00      -5.841413907138e+00       0.000000000000e+00      -5.778223500712e-01      -5.669555203099e+00       5.085261100554e-01       5.102034092256e-01      -8.319637907898e-03      -3.337382012161e-05                      nan      -7.852143072837e-03      -3.163654784982e-04 
       7.554580416073e-03      -5.089623913747e-01      -5.892094184608e+00      -6.016220140960e+00       0.000000000000e+00      -5.644444910714e-01      -5.837465391257e+00       5.065992915520e-01       5.082256629482e-01      -8.445849409297e-03      -3.548371414287e-05                      nan      -7.990662536211e-03      -3.217217641257e-04 
       7.676935923868e-03      -4.848207351949e-01      -6.060927362672e+00      -6.193027729738e+00       0.000000000000e+00      -5.534072365918e-01      -6.007332037130e+00       5.046892197758e-01       5.062555887180e-01      -8.565663410762e-03      -3.768942766210e-05                      nan      -8.128063068979e-03      -3.269309262903e-04 
       7.799366881390e-03      -4.633698811265e-01      -6.231365758377e+00      -6.371809839092e+00       0.000000000000e+00      -5.447348345764e-01      -6.179131170053e+00       5.027956785422e-01       5.042940048018e-01      -8.679873778002e-03      -3.999195137835e-05                      nan      -8.265298978616e-03      -3.320260137064e-04 
       7.921870489981e-03      -4.447437722263e-01      -6.403368772124e+00      -6.552538773109e+00       0.000000000000e+00      -5.384225285113e-01      -6.352836076464e+00       5.009181964701e-01       5.023414769160e-01      -8.789377794597e-03      -4.239466184325e-05                      nan      -8.403365992674e-03      -3.370434402630e-04 
       8.044444128110e-03      -4.290477812642e-01      -6.576899260639e+00      -6.735187344085e+00       0.000000000000e+00      -5.344372093449e-01      -6.528420181307e+00       4.990562971827e-01       5.003985562519e-01      -8.895165797996e-03      -4.489987036480e-05                      nan      -8.543289829913e-03      -3.420220262883e-04 
       8.167085339271e-03      -4.163576919948e-01      -6.751919176144e+00      -6.919727255042e+00       0.000000000000e+00      -5.327181610342e-01      -6.705855031045e+00       4.972093526979e-01       4.984656278148e-01      -8.998310892317e-03      -4.750984592345e-05                      nan      -8.686110868292e-03      -3.470026875956e-04 
       8.289791820870e-03      -4.067191441321e-01      -6.928393823483e+00      -7.106135326096e+00       0.000000000000e+00      -5.331794199851e-01      -6.885116043775e+00       4.953770201420e-01       4.965433417249e-01      -9.099965987959e-03      -5.022745106087e-05                      nan      -8.832874206760e-03      -3.520283135243e-04 
       8.412561414027e-03      -4.001475754845e-01      -7.106284044793e+00      -7.294382895481e+00       0.000000000000e+00      -5.357094014836e-01      -7.066172656208e+00       4.935585124408e-01       4.946318768514e-01      -9.201338359505e-03      -5.305516011074e-05                      nan      -8.984607894238e-03      -3.571426955145e-04 
       8.535392094189e-03      -3.966285363245e-01      -7.285553259965e+00      -7.484443750542e+00       0.000000000000e+00      -5.401741719121e-01      -7.248995926843e+00       4.917531780499e-01       4.927315154617e-01      -9.303687206608e-03      -5.599540383793e-05                      nan      -9.142314273328e-03      -3.623903909466e-04 
       8.658281962499e-03      -3.961179383593e-01      -7.466165248046e+00      -7.676293307110e+00       0.000000000000e+00      -5.464193467526e-01      -7.433557542816e+00       4.899604192102e-01       4.908425567751e-01      -9.408309250487e-03      -5.905103947233e-05                      nan      -9.306955065054e-03      -3.678162382160e-04 
       8.781229237845e-03      -3.985430695705e-01      -7.648084851300e+00      -7.869906310930e+00       0.000000000000e+00      -5.542719605866e-01      -7.619828106601e+00       4.881795754884e-01       4.889651950889e-01      -9.516521719913e-03      -6.222434259762e-05                      nan      -9.479436477918e-03      -3.734645794197e-04 
       8.904232249532e-03      -4.038033113591e-01      -7.831276052727e+00      -8.065257801259e+00       0.000000000000e+00      -5.635431098071e-01      -7.807777654751e+00       4.864099677034e-01       4.870995603240e-01      -9.629649240563e-03      -6.551795065857e-05                      nan      -9.660596310121e-03      -3.793789110905e-04 
       9.027289430517e-03      -4.117715367473e-01      -8.015703051444e+00      -8.262323104589e+00       0.000000000000e+00      -5.740305841784e-01      -7.997375879531e+00       4.846509158223e-01       4.852457318689e-01      -9.749008755439e-03      -6.893453674790e-05                      nan      -9.851191859839e-03      -3.856013022707e-04 
       9.150399311170e-03      -4.222955940261e-01      -8.201329073638e+00      -8.461077415208e+00       0.000000000000e+00      -5.855215211063e-01      -8.188591655687e+00       4.829017140518e-01       4.834037106124e-01      -9.875894530481e-03      -7.247703429828e-05                      nan      -1.005188844192e-02      -3.921719110697e-04 
       9.273560513504e-03      -4.352003737526e-01      -8.388119996363e+00      -8.661497186383e+00       0.000000000000e+00      -5.977954867561e-01      -8.381394819503e+00       4.811617384216e-01       4.815735233393e-01      -1.001156531399e-02      -7.614789540879e-05                      nan      -1.026325091683e-02      -3.991284444580e-04 
       9.396771745844e-03      -4.502895386678e-01      -8.576042435304e+00      -8.863557941146e+00       0.000000000000e+00      -6.106269446608e-01      -8.575754146103e+00       4.794303258579e-01       4.797550999913e-01      -1.015722662611e-02      -7.994905462253e-05                      nan      -1.048573133652e-02      -4.065055584063e-04 
       9.520031797891e-03      -4.673472338278e-01      -8.765058828595e+00      -9.067235972988e+00       0.000000000000e+00      -6.237885051061e-01      -8.771638012784e+00       4.777068198828e-01       4.779483182613e-01      -1.031401706239e-02      -8.388398368587e-05                      nan      -1.071966445920e-02      -4.143348026279e-04 
       9.643339536152e-03      -4.861414613609e-01      -8.955138453903e+00      -9.272508503463e+00       0.000000000000e+00      -6.370537876399e-01      -8.969016376666e+00       4.759906752805e-01       4.761531058034e-01      -1.048299828236e-02      -8.795437089898e-05                      nan      -1.096526242559e-02      -4.226437859424e-04 
       9.766693899711e-03      -5.064250319888e-01      -9.146239020693e+00      -9.479350840901e+00       0.000000000000e+00      -6.501996911923e-01      -9.167855574960e+00       4.742811814459e-01       4.743691646628e-01      -1.066513317207e-02      -9.216490881966e-05                      nan      -1.122260622475e-02      -4.314563052502e-04 
       9.890093896300e-03      -5.279406528625e-01      -9.338338827710e+00      -9.687741861230e+00       0.000000000000e+00      -6.630102749404e-01      -9.368128036977e+00       4.725779700770e-01       4.725964760080e-01      -1.086128991856e-02      -9.651466745609e-05                      nan      -1.149165053926e-02      -4.407911501833e-04 
       1.001353859866e-02      -5.504202343500e-01      -9.531393037184e+00      -9.897656821986e+00       0.000000000000e+00      -6.752779687331e-01      -9.569799478086e+00       4.708803538299e-01       4.708346424440e-01      -1.107220587915e-02      -1.010095416227e-04                      nan      -1.177221255432e-02      -4.506630776061e-04 
       1.013702714118e-02      -5.735904478624e-01      -9.725369197799e+00      -1.010907338285e+01       0.000000000000e+00      -6.868068058178e-01      -9.772839587096e+00       4.691878748775e-01       4.690834352274e-01      -1.129850375950e-02      -1.056515134970e-04                      nan      -1.206398456137e-02      -4.610816779720e-04 
       1.026055871672e-02      -5.971744493707e-01      -9.920236046499e+00      -1.032196912665e+01       0.000000000000e+00      -6.974149077348e-01      -9.977218286704e+00       4.675001066859e-01       4.673425971840e-01      -1.154066704570e-02      -1.104424331305e-04                      nan      -1.236652869988e-02      -4.720513345571e-04 
       1.038413257374e-02      -6.208945592547e-01      -1.011595877521e+01      -1.053632180270e+01       0.000000000000e+00      -7.069360648163e-01      -1.018290524031e+01       4.658166316149e-01       4.656118226926e-01      -1.179903664157e-02      -1.153851265782e-04                      nan      -1.267928509729e-02      -4.835714498792e-04 
       1.050774801356e-02      -6.444757495130e-01      -1.031251398481e+01      -1.075210984137e+01       0.000000000000e+00      -7.152221187838e-01      -1.038987274382e+01       4.641371695689e-01       4.638908877213e-01      -1.207381013684e-02      -1.204795604329e-04                      nan      -1.300157801373e-02      -4.956359189568e-04 
       1.063140438788e-02      -6.676464022830e-01      -1.050984448838e+01      -1.096930761044e+01       0.000000000000e+00      -7.221430313291e-01      -1.059808467794e+01       4.624610878427e-01       4.621791627070e-01      -1.236501287473e-02      -1.257347187392e-04                      nan      -1.333261554590e-02      -5.082343473891e-04 
       1.075510109639e-02      -6.901443235056e-01      -1.070794719115e+01      -1.118789825037e+01       0.000000000000e+00      -7.275911142800e-01      -1.080752109987e+01       4.607884823916e-01       4.604766960313e-01      -1.267254888435e-02      -1.311455144885e-04                      nan      -1.367152282796e-02      -5.213500738215e-04 
       1.087883758462e-02      -7.117152646171e-01      -1.090676485853e+01      -1.140785534659e+01       0.000000000000e+00      -7.314782175547e-01      -1.101814604175e+01       4.591187676535e-01       4.587828072973e-01      -1.299613257236e-02      -1.367204271207e-04                      nan      -1.401731829709e-02      -5.349626212490e-04 
       1.100261334193e-02      -7.321195274338e-01      -1.110627287255e+01      -1.162915910715e+01       0.000000000000e+00      -7.337406376110e-01      -1.122993465328e+01       4.574518509072e-01       4.570972622887e-01      -1.333533743034e-02      -1.424602101382e-04                      nan      -1.436895573062e-02      -5.490460913108e-04 
       1.112642789957e-02      -7.511301487445e-01      -1.130643971529e+01      -1.185178781273e+01       0.000000000000e+00      -7.343358495470e-01      -1.144285988817e+01       4.557875542333e-01       4.554197040142e-01      -1.368958753727e-02      -1.483663943261e-04                      nan      -1.472532305489e-02      -5.635702976455e-04 
